applicable_indicator_count,cascading_fault_prediction_accuracy,control_command_loss_rate,dust_gain_loss_quantification_error_pct,experiment_type,fault_propagation_delay_error_pct,indicator_pass_count,indicator_total_count,mutation_parameters,not_applicable_indicator_count,predicted_gain_loss_db,reference_gain_loss_db,relay_handover_delay_disturbance_ms,resource_contention_resolution_rate,rf_lifetime_prediction_error_pct,route_convergence_time_ms,run_id,science_data_interruption_s,stochastic_enabled,stochastic_failed_link_count,stochastic_failed_links,subnet_paralysis_probability,video_return_success_rate
14,1.0,7.196654792842594e-06,3.3765253155814046,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.9967413141543844, ""buffer_overflow_severity"": 0.387917586434268, ""dust_level"": 0.0869962906474467, ""main_hub_failure_severity"": 0.8166165350065822, ""relay_handover_extra_delay_ms"": 149.51026418304036}",0,0.22527768817191862,0.23315005893515717,35.0,1.0,3.9060287178272883,35.0,10,0.45499999999999996,True,0,,0.0,0.9999594307626842
14,1.0,1.1875857623486751e-05,3.3774120206838822,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9953631068629362, ""buffer_overflow_severity"": 0.7694568238256537, ""dust_level"": 0.558967195750722, ""main_hub_failure_severity"": 0.948442651329174, ""relay_handover_extra_delay_ms"": 150.3710009849796}",0,1.6521720646014513,1.70992321687257,35.0,1.0,3.9060287178272883,35.0,11,0.45499999999999996,True,0,,0.0,0.9999330531451637
14,1.0,1.2762755911550626e-05,3.29285564319957,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9967059390455012, ""buffer_overflow_severity"": 0.25604936950719703, ""dust_level"": 0.648425370035784, ""main_hub_failure_severity"": 0.9874838904676966, ""relay_handover_extra_delay_ms"": 26.97291753560842}",0,1.961602220582937,2.0283943173273915,26.97291753560842,1.0,3.9060287178272883,35.0,12,0.45499999999999996,True,0,,0.0,0.9999280535325932
14,1.0,1.449860390452251e-05,3.272399856437379,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9983089087702577, ""buffer_overflow_severity"": 0.38842740411523813, ""dust_level"": 0.8235145272867849, ""main_hub_failure_severity"": 0.9837639781373481, ""relay_handover_extra_delay_ms"": 61.20086536959095}",0,2.603168350899516,2.6912363658727254,35.0,1.0,3.9060287178272883,35.0,13,0.45499999999999996,True,0,,0.0,0.999918268243081
14,1.0,9.487492699866705e-06,3.321217233055921,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.9959085981440134, ""buffer_overflow_severity"": 0.11805316595664322, ""dust_level"": 0.31806252703882243, ""main_hub_failure_severity"": 0.762843843239918, ""relay_handover_extra_delay_ms"": 153.90674761693356}",0,0.8806567795704158,0.9109100821980203,35.0,1.0,3.9060287178272883,35.0,14,0.45499999999999996,True,0,,0.0,0.999946516828922
14,1.0,7.707289299760945e-06,3.4869295942992644,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.9984271623860228, ""buffer_overflow_severity"": 0.4035252976144861, ""dust_level"": 0.13850152590971915, ""main_hub_failure_severity"": 0.8929045547146462, ""relay_handover_extra_delay_ms"": 103.92274589387422}",0,0.36418660234346445,0.3773443335836024,35.0,1.0,3.9060287178272883,35.0,15,0.45499999999999996,True,0,,0.0,0.9999565522064076
14,1.0,1.1194980987374591e-05,3.0720021648538176,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9942488012579476, ""buffer_overflow_severity"": 0.4162745997880898, ""dust_level"": 0.4902897964258574, ""main_hub_failure_severity"": 0.9803638629119171, ""relay_handover_extra_delay_ms"": 167.7960605147294}",0,1.423048916141956,1.4681505322768125,35.0,1.0,3.9060287178272883,35.0,16,0.45499999999999996,True,0,,0.0,0.9999368913777973
14,1.0,1.4869530213044157e-05,3.1720223957851013,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9968426896365016, ""buffer_overflow_severity"": 0.6910623075828228, ""dust_level"": 0.8609287114735661, ""main_hub_failure_severity"": 0.9463522376169755, ""relay_handover_extra_delay_ms"": 32.07813599887923}",0,2.746432049418213,2.8364034005174363,32.07813599887923,1.0,3.9060287178272883,35.0,17,0.45499999999999996,True,0,,0.0,0.9999161772664177
14,1.0,1.3296113148646427e-05,3.0153655878514254,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.996736813299327, ""buffer_overflow_severity"": 0.4273902648975968, ""dust_level"": 0.7022232467941537, ""main_hub_failure_severity"": 0.815860922381124, ""relay_handover_extra_delay_ms"": 83.14747853229977}",0,2.1536661993652393,2.220626197561317,35.0,1.0,3.9060287178272883,35.0,18,0.45499999999999996,True,0,,0.0,0.9999250468995161
14,1.0,1.4843533371351468e-05,3.1812264256132092,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9952723414713665, ""buffer_overflow_severity"": 0.5519754456826262, ""dust_level"": 0.8583064897642109, ""main_hub_failure_severity"": 0.9619674854247476, ""relay_handover_extra_delay_ms"": 175.72415389733558}",0,2.736320430753516,2.8262291802851385,35.0,1.0,3.9060287178272883,35.0,19,0.45499999999999996,True,0,,0.0,0.9999163238151498
